,Financial Year,2014-2015,,,,,,2015-2016,,,,,,,,
,Quarter,Qtr 3 Jan-Mar 2015,,,Qtr 4 Apr-Jun 2015,,,Qtr 1 Jul-Sep 2015,,,Qtr 2 Oct-Dec 2015,,,Qtr 3 Jan-Mar 2016,,
LGA Name,Final Dispatch Code,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number,%<=15mins,AVG RT - Seconds,Total Number
Central Goldfields (S),Code 2,,1766,160,,1772,168,,1605,145,,1654,123,,1814,199
Colac-Otway (S),Code 2,,1695,180,,1857,177,,1998,165,,1742,168,,1919,203
Corangamite (S),Code 2,,1869,132,,1744,159,,1682,112,,2186,126,,1667,134
Darebin (C),Code 2,,1766,1075,,1716,1126,,1998,1119,,1857,1179,,1612,1140
East Gippsland (S),Code 2,,2104,492,,2067,489,,2166,490,,2173,548,,2047,581
Frankston (C),Code 2,,1397,1308,,1366,1259,,1457,1355,,1425,1397,,1323,1425
Gannawarra (S),Code 2,,1639,73,,1864,79,,1573,73,,1857,94,,2164,99
Glen Eira (C),Code 2,,1910,791,,1852,887,,2041,918,,1817,888,,1884,786
Glenelg (S),Code 2,,1850,149,,1716,187,,1454,181,,1671,178,,1588,163
Golden Plains (S),Code 2,,1782,67,,1783,72,,1875,72,,1815,71,,2112,75
Greater Bendigo (C),Code 2,,1717,766,,1559,818,,1800,912,,1662,855,,1648,812
Greater Dandenong (C),Code 2,,1483,1252,,1491,1293,,1610,1341,,1509,1294,,1479,1453
Greater Geelong (C),Code 2,,1625,1805,,1522,1917,,1696,1919,,1657,1982,,1715,1865
Greater Shepparton (C),Code 2,,1628,590,,1476,590,,1462,577,,1545,644,,1423,679
Hepburn (S),Code 2,,2268,132,,2164,141,,2105,119,,1875,117,,2009,138
Hindmarsh (S),Code 2,,1860,60,,1744,76,,2448,77,,2041,75,,1964,60
Hobsons Bay (C),Code 2,,1521,608,,1611,659,,1840,653,,1557,642,,1545,618
Horsham (RC),Code 2,,1481,238,,1570,205,,1884,234,,1402,222,,1412,250
Hume (C),Code 2,,1792,1327,,1825,1330,,2042,1418,,1969,1456,,1728,1431
Indigo (S),Code 2,,2090,70,,1785,105,,1779,81,,2047,76,,1906,82
Kingston (C),Code 2,,1607,1129,,1610,1108,,1732,1050,,1544,1052,,1543,1091
Knox (C),Code 2,,1374,1015,,1397,988,,1551,1042,,1487,1003,,1313,1050
Latrobe (C),Code 2,,1926,831,,2030,800,,1909,847,,2009,934,,1898,888
Loddon (S),Code 2,,1908,47,,2498,69,,2316,65,,2203,55,,2227,63
Macedon Ranges (S),Code 2,,1528,333,,1392,381,,1427,375,,1443,418,,1569,387
Manningham (C),Code 2,,1668,627,,1667,673,,1894,658,,1788,608,,1577,631
Mansfield (S),Code 2,,2163,88,,2118,94,,2572,85,,2220,99,,2327,96
Maribyrnong (C),Code 2,,1511,576,,1503,602,,1844,581,,1551,630,,1545,578
Maroondah (C),Code 2,,1485,850,,1472,888,,1648,866,,1452,883,,1460,980
Melbourne (C),Code 2,,1569,1726,,1557,1582,,1753,1608,,1640,1666,,1515,1851
Melton (S),Code 2,,1618,778,,1671,820,,1884,796,,1641,842,,1598,855
Mildura (RC),Code 2,,1470,501,,1668,507,,1654,565,,1613,571,,1608,587
Mitchell (S),Code 2,,1583,364,,1544,355,,1577,377,,1566,399,,1649,367
Moira (S),Code 2,,1812,324,,1719,329,,1751,324,,1826,333,,1668,338
Monash (C),Code 2,,1729,1124,,1605,1199,,1851,1159,,1644,1212,,1513,1112
Moonee Valley (C),Code 2,,3516,1119,,3399,1151,,4098,1153,,3862,1236,,4074,1205
Moorabool (S),Code 2,,1659,228,,1777,219,,1760,237,,1767,263,,1525,225
Moreland (C),Code 2,,1810,1225,,1781,1318,,2100,1309,,1910,1263,,1838,1269
Mornington Peninsula (S),Code 2,,1517,1414,,1482,1377,,1542,1376,,1474,1471,,1449,1559
Mount Alexander (S),Code 2,,1947,167,,1884,144,,1957,158,,1769,186,,1704,157
Moyne (S),Code 2,,1810,92,,1840,90,,1739,87,,1639,86,,1764,104
Murrindindi (S),Code 2,,1852,140,,1884,134,,2233,121,,2233,132,,2038,134
Nillumbik (S),Code 2,,1793,272,,1893,293,,2303,258,,2148,253,,1882,248
Northern Grampians (S),Code 2,,1684,122,,2024,150,,1563,125,,1898,110,,1649,130
Port Phillip (C),Code 2,,1702,908,,1623,740,,1786,794,,1748,868,,1675,923
Pyrenees (S),Code 2,,2010,62,,1806,62,,2077,66,,1844,60,,1892,53
Queenscliffe (B),Code 2,,2114,34,,1542,22,,2211,31,,1841,41,,1962,35
South Gippsland (S),Code 2,,1819,212,,2035,232,,1871,207,,2089,245,,2050,257
Southern Grampians (S),Code 2,,1624,124,,1775,131,,1544,134,,1680,146,,1492,135
Stonnington (C),Code 2,,1724,563,,1633,603,,1906,569,,1912,627,,1710,608
Strathbogie (S),Code 2,,1946,91,,1983,120,,2097,96,,1795,102,,1989,107
Surf Coast (S),Code 2,,1706,190,,1657,181,,1676,150,,1717,200,,1818,211
Swan Hill (RC),Code 2,,1443,165,,1785,198,,1697,203,,1791,218,,1615,200
Towong (S),Code 2,,2434,46,,2634,69,,1569,55,,2441,63,,1694,64
Unincorporated Vic,Code 2,,2283,10,,801,33,,1220,278,,2804,2,,3579,12
Wangaratta (RC),Code 2,,1763,237,,1949,262,,1760,264,,1814,276,,1830,293
Warrnambool (C),Code 2,,1344,289,,1523,291,,1553,291,,1501,340,,1691,268
Wellington (S),Code 2,,1828,381,,1798,337,,1836,319,,1891,327,,1871,347
West Wimmera (S),Code 2,,1638,27,,2218,29,,2159,41,,2075,34,,2231,35
Whitehorse (C),Code 2,,1505,1069,,1561,1065,,1666,1145,,1496,1130,,1446,1105
Whittlesea (C),Code 2,,1821,1014,,1778,1060,,2131,1042,,1896,1101,,1793,1076
Wodonga (RC),Code 2,,1563,294,,1730,275,,1688,336,,1814,339,,1520,344
Wyndham (C),Code 2,,1627,996,,1580,1063,,1816,1034,,1690,1096,,1609,1091
Yarra (C),Code 2,,1652,628,,1682,572,,1871,547,,1619,642,,1614,600
Yarra Ranges (S),Code 2,,1624,977,,1647,920,,1716,1000,,1603,986,,1656,926
Yarriambiack (S),Code 2,,2332,58,,2180,70,,2210,67,,2129,84,,2352,66
Interstate LGAs,Code 2,,2008,126,,1864,113,,2026,129,,2072,128,,1651,145
Total AV,Code 2,,1699,43148,,1693,43769,,1845,44421,,1750,45571,,1689,45464
,,,,,,,,,,,,,,,,
NOTE: ,,,,,,,,,,,,,,,,
"1. The ""Total AV"" result includes a small number of incidents for which no LGA was able to be determined",,,,,,,,,,,,,,,,
2. Incidents responded to by AV resources outside the Victorian LGA Boundaries,,,,,,,,,,,,,,,,
